world_id,source,event_id,record_id,partition,building_height_stories,realization_id,is_nominal,mass_scale,stiffness_scale,damping_ratio,damper_capacity_scale,lhs_seed,archetype_id
fdec4045b9835bcbf1cd8294666d2eb9712a0f4e34e114683c0ead526f946501,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,3,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
c83b8cc94cf3b642df7eff94c4a592e778da2b1497902ab40678bf2278e5fc19,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
99c04182b48e59f4cbcd0b1f4ba22d38ab9c17b2dac2996f2b30630228f56ae6,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
172178320547405a0f5030987102f311eafc2a8e2802a08c490aef10ce98c0b0,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
29189e53bd84011408ecb653be5da8a0329b7222494fbba8a431ce94465f7e09,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,6,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
9812afe63dba489d8a117a2249d63d1bfad9412ed9df96a47c65e4325eae46ad,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
e28d468bba497d651cbaa989cba61d93c6d217c9e00402e2d6e9f4e6091e57d4,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
98e945a6f20b4c1f109b9c671b0fe153f631d1a2bbd3303fab52fb320fc14943,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
6cb024f8acf2b5277944c62c218096350fad5b62bbc452cdcd25f3241aa796e5,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,10,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
3423cc2d35291579ae27491c0b8674b07f67ab0f9eedfcb5b340bec5fcc52e96,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
8a81612daf8ef04769310bad815d9f2c3451ae2bc2c23994693c0483019d331e,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
bc38691d9789e4636603578011e4ab9d3f34f8ea89c2a314212814668382810d,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
feb1072fd76f4905f948c8ecb09be88b036d3ffb2ee3e4f0db51785aa3ce7549,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,20,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
950f93e0c752ebdef47fc1f08750216c3cc068b0d19066bb6e4014ec1f558011,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,20,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
e6b78c80f33efa928de45ca88f16ced7f66080b658ea0ded89f1c793e7cea643,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,20,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
c87e04f6a4d69e5f9951eb54ce647c013eda17bb30172cd4e5607328603b2b0d,ESM,IT-1980-0030,IT.CNP..HNN.D.IT-1980-0030.ACC.MP.ASC,training,20,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
348d570c0c7aac72e7390365a1112e1e034fb412d21a65bc8516fe8507e628d9,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,3,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
6b528e0f290d5c0281b1e62da0cbe6a350877c6207f0b8de285a54a152fc7ed5,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
4c04938a9450f574418ddbf2302da8834c609d098c203fd696fe10e03f8fd0e1,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
0f911cf31582a9bf98cbecd2df61a13fa72bd741e16f6a7070d426265b1441d8,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,3,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
de8e3336582c367bb0be2c757fcfb09a0ea9136c960a4b1072e979483383e77c,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,6,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
9c45f5804b2ad9b218fe5136d3df09a5c99de9f7b5e0f866c751aa787899b793,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
4a775f0d1180116f58b3baadd3b5a4ef4cc96f8783c17cc9623cebc6a519399e,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
f8dd6fe95d7f9a714453445e523692eb075c657347b679a0addf903ec4d67fda,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,6,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
450ce77e83a10a5644c7455f21e85e425564ef5cc81a4c49a1e36e1c77ac692f,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,10,nominal,true,1,1,0.050000000000000003,1,24681357,canonical-shear-friction-v0.8.1
9e3f8431fd5e160d43e0d16badbc497e09afdd7e0978f524fe2367000bb843a5,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-1,false,1.055345003920092,0.91186441049273859,0.058766975947465362,1.0991779467262428,24681357,canonical-shear-friction-v0.8.1
0ff173aed205ce03a424a9ec3082fec955f22c537eeba73b5ee678a71206dcf9,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-2,false,0.93530801801650687,0.953478937041492,0.050077687460435838,0.94748395915337158,24681357,canonical-shear-friction-v0.8.1
ef15f308b9ebb33881346642ab77d3313548e9754718c7c42c5778ce2bbf93cb,ESM,IT-1980-0030,IT.CR1..HNE.D.IT-1980-0030.ACC.MP.ASC,training,10,lhs-3,false,0.98012715606141543,1.0955005541028737,0.043992240427104604,1.0147451705015114,24681357,canonical-shear-friction-v0.8.1
